41: "20;58"
42: "20;57"
43: "20;56"
44: "20;55"
45: "20;54"
46: "20;53"
47: "20;52"
48: "19;51"
49: "18;50"
50: "17;49"
51: "16;48"
52: "15;47"
53: "14;46"
54: "13;45"
55: "12;44"
56: "12;43"
57: "12;42"
58: "12;41"
59: "12;40"
60: "12;39"
61: "12;38"
62: "12;37"
63: "12;36"
64: "12;35"
65: "12;34"
66: "12;33"
67: "12;32"
68: "12;31"
69: "12;30"
70: "12;29"
71: "12;28"
72: "12;27"
73: "12;26"
74: "12;25"
75: "12;24"
76: "12;23"
77: "12;22"
78: "12;21"
79: "13;20"
80: "14;19"
81: "15;19"
82: "16;19"
83: "17;19"
84: "18;19"
